Date,Open,High,Low,Close,Adj Close
01/07/2015,3.7612,3.83656,3.75028,3.77798,3.77798
01/08/2015,3.77201,3.94486,3.7508,3.93568,3.93568
01/09/2015,3.92486,3.96275,3.85585,3.92618,3.92618
01/10/2015,3.91996,3.9348,3.79906,3.86564,3.86564
01/11/2015,3.85864,3.92866,3.84586,3.88046,3.88046
01/12/2015,3.87006,3.91476,3.8049,3.89649,3.89649
01/01/2016,3.89649,3.9865,3.87952,3.95478,3.95478
01/02/2016,3.95483,3.97055,3.86056,3.90618,3.90618
01/03/2016,3.90111,3.91798,3.75336,3.78098,3.78098
01/04/2016,3.74996,3.82196,3.71376,3.75246,3.75246
01/05/2016,3.71571,3.88818,3.71571,3.83782,3.83782
01/06/2016,3.84983,3.90925,3.80671,3.84876,3.84876
01/07/2016,3.85206,3.89976,3.69745,3.69745,3.69745
01/08/2016,3.79316,3.84126,3.69755,3.78576,3.78576
01/09/2016,3.77316,3.78964,3.72465,3.7458,3.7458
01/10/2016,3.73092,3.86482,3.73092,3.84276,3.84276
01/11/2016,3.83328,3.88504,3.77183,3.83167,3.83167
01/12/2016,3.82865,3.88043,3.69246,3.83496,3.83496
01/01/2017,3.81316,3.87696,3.76176,3.76771,3.76771
01/02/2017,3.76829,3.78281,3.63642,3.66287,3.66287
01/03/2017,3.64376,3.70702,3.55346,3.62996,3.62996
01/04/2017,3.6288,3.68447,3.61302,3.61485,3.61485
01/05/2017,3.61496,3.62327,3.53066,3.54186,3.54186
01/06/2017,3.52716,3.56205,3.48436,3.48556,3.48556
01/07/2017,3.48765,3.60913,3.46902,3.55128,3.55128
01/08/2017,3.55827,3.63575,3.55128,3.58509,3.58509
01/09/2017,3.57362,3.58418,3.46092,3.52963,3.52963
01/10/2017,3.53275,3.5512,3.476,3.52216,3.52216
01/11/2017,3.5175,3.55275,3.42716,3.50234,3.50234
01/12/2017,3.49096,3.55025,3.43951,3.44934,3.44934
01/01/2018,3.46925,3.47501,3.36658,3.41636,3.41636
01/02/2018,3.41805,3.54981,3.41251,3.48405,3.48405
01/03/2018,3.47419,3.51735,3.41906,3.50446,3.50446
01/04/2018,3.50448,3.60306,3.48054,3.58586,3.58586
01/05/2018,3.59625,3.63349,3.54456,3.56671,3.56671
01/06/2018,3.5579,3.66268,3.52666,3.65403,3.65403
01/07/2018,3.65656,3.67607,3.59436,3.65946,3.65946
01/08/2018,3.66528,3.72294,3.59486,3.60733,3.60733
01/09/2018,3.6032,3.64143,3.54994,3.60329,3.60329
01/10/2018,3.62587,3.72729,3.60116,3.71088,3.71088
01/11/2018,3.71535,3.74262,3.66095,3.70905,3.70905
01/12/2018,3.70175,3.7824,3.69634,3.76259,3.76259
01/01/2019,3.75845,3.77133,3.6258,3.66205,3.66205
01/02/2019,3.63495,3.6634,3.5901,3.61555,3.61555
01/03/2019,3.62459,3.63715,3.57615,3.625,3.625
01/04/2019,3.63015,3.63573,3.55381,3.61335,3.61335
01/05/2019,3.59615,3.63557,3.5572,3.631,3.631
01/06/2019,3.62615,3.63815,3.56065,3.5709,3.5709
01/07/2019,3.56995,3.58185,3.47141,3.4929,3.4929
01/08/2019,3.51205,3.55234,3.45675,3.5303,3.5303
01/09/2019,3.52985,3.5596,3.47165,3.48025,3.48025
01/10/2019,3.47425,3.54768,3.47425,3.52712,3.52712
01/11/2019,3.52085,3.53137,3.44585,3.46922,3.46922
01/12/2019,3.46922,3.50403,3.43862,3.4596,3.4596
01/01/2020,3.45245,3.48535,3.4345,3.44993,3.44993
01/02/2020,3.4463,3.4905,3.39835,3.4898,3.4898
01/03/2020,3.4898,3.86399,3.426,3.56645,3.56645
01/04/2020,3.5369,3.65888,3.467,3.49708,3.49708
01/05/2020,3.47275,3.55646,3.467,3.50125,3.50125
01/06/2020,3.5008,3.51304,3.41735,3.44393,3.44393
01/07/2020,3.46,3.46644,3.39865,3.40643,3.40643
01/08/2020,3.4032,3.4271,3.3499,3.3601,3.3601
01/09/2020,3.352,3.4879,3.34835,3.44558,3.44558
01/10/2020,3.41842,3.43645,3.36786,3.42044,3.42044
01/11/2020,3.42044,3.42394,3.30124,3.31291,3.31291
01/12/2020,3.30316,3.30684,3.20604,3.21325,3.21325
01/01/2021,3.21152,3.29916,3.11323,3.27325,3.27325
01/02/2021,3.28147,3.3119,3.2332,3.3109,3.3109
01/03/2021,3.31198,3.35123,3.27807,3.33496,3.33496
01/04/2021,3.3333,3.34445,3.23569,3.2477,3.2477
01/05/2021,3.24164,3.29955,3.23815,3.24964,3.24964
01/06/2021,3.24701,3.28305,3.23455,3.25257,3.25257
01/07/2021,3.25729,3.30048,3.22414,3.22536,3.22536
01/08/2021,3.22536,3.25187,3.2012,3.2155,3.2155
01/09/2021,3.20265,3.23098,3.19601,3.21709,3.21709
01/10/2021,3.22491,3.25166,3.14588,3.15699,3.15699
01/11/2021,3.15593,3.19547,3.04135,3.16577,3.16577
01/12/2021,3.14951,3.17975,3.08683,3.10421,3.10421
01/01/2022,3.11333,3.20502,3.08024,3.20154,3.20154
01/02/2022,3.17785,3.28775,3.15195,3.23121,3.23121
01/03/2022,3.20431,3.30878,3.1662,3.17896,3.17896
01/04/2022,3.18975,3.34903,3.18408,3.34048,3.34048
01/05/2022,3.34048,3.47128,3.31146,3.3388,3.3388
01/06/2022,3.3294,3.51443,3.2701,3.45912,3.45912
01/07/2022,3.5003,3.54729,3.38,3.40813,3.40813
01/08/2022,3.40815,3.40815,3.2218,3.32697,3.32697
01/09/2022,3.32707,3.57479,3.32627,3.5631,3.5631
01/10/2022,3.5568,3.614,3.48303,3.53172,3.53172
01/11/2022,3.51894,3.58037,3.4004,3.43568,3.43568
01/12/2022,3.4483,3.5392,3.3739,3.5266,3.5266
01/01/2023,3.5266,3.55654,3.3463,3.4601,3.4601
01/02/2023,3.4533,3.68993,3.38845,3.665,3.665
01/03/2023,3.65136,3.70979,3.52807,3.58766,3.58766
01/04/2023,3.596,3.691,3.55799,3.63442,3.63442
01/05/2023,3.63401,3.7484,3.6043,3.70604,3.70604
01/06/2023,3.73266,3.75166,3.54057,3.69148,3.69148
01/07/2023,3.70759,3.72594,3.5667,3.70061,3.70061
01/08/2023,3.66347,3.81416,3.62307,3.78085,3.78085
01/09/2023,3.7985,3.8545,3.77252,3.80358,3.80358
01/10/2023,3.80358,4.08372,3.80358,4.03678,4.03678
01/11/2023,4.04513,4.04513,3.66842,3.6822,3.6822
01/12/2023,3.7213,3.74496,3.5673,3.5979,3.5979
01/01/2024,3.6,3.7951,3.6,3.6588,3.6588
01/02/2024,3.6377,3.69998,3.5523,3.59201,3.59201
01/03/2024,3.5705,3.6909,3.5393,3.68339,3.68339
01/04/2024,3.69078,3.82693,3.65612,3.76072,3.76072
01/05/2024,3.73302,3.75719,3.6518,3.70238,3.70238
